name,disc,price,Mileage,Gearbox,First_registration,Fuel,Power,Type,Engine_size
Audi RS7,RS 7 SB 4.0 Prior Widebody Akrapovic Keram Carb,"€ 69,500.","56,412 km",Automatic,08/2014,Gasoline,435 kW (591 hp),Coupe,"3,993 cc"
Audi A5,2.0 TDi S LINE  S tronic 17400eur + BTW/TVA,"€ 21,054.","129,365 km",4,110 kW (150 hp),Euro 6d,7,Sedan,"1,595 kg"
Audi RS6,RS 6 Avant quattro ABT Legacy Edition 1 of 200,"€ 244,900.","1,992 km",Yes,10/2023,8,1,Station wagon,Yes
Audi R8,R8 V10 RWD performance Laser/B&O/Feinnappa,"€ 133,900.","6,048 km",Yes,06/2023,7,1,Coupe,Yes
Audi A5,Sportback 1.8 TFSI Benzine   GPS   Leder   Tops...,"€ 13,990.","141,034 km",Automatic,1,136 g/km (comb.),125 kW (170 hp),Sedan,"1,798 cc"
Audi A5,SpB 3.0 TDI Qu S Line NAV+LED+DIGDISPL+19ZOLL,"€ 24,749.","164,750 km",Yes,05/2017,6,Yes,Sedan,160 kW (218 hp)
Audi RS6,Avant performance STANDHZG SOFT HUD B&O PANO,"€ 133,900.",50 km,Yes,2023,8,Yes,Station wagon,463 kW (630 hp)
Audi A7,"SB 3.0 TDI quattro S Line TLeder,Navi,LED,SH","€ 20,200.","199,015 km","2,967 cc",09/2024,Tornadograu Metallic,Automatic,Coupe,Diesel
Audi S8,4.0 TFSI quattro MTM 787 PS Allrad HUD Luftfederun,"€ 155,550.","10,816 km",1,"10,816 km","3,996 cc",New,Sedan,Yes
Audi R8,Coupé V10 RWD  LASER B&O Individual Carbon,"€ 117,560.","41,000 km",Automatic,04/2021,Gasoline,397 kW (540 hp),Coupe,"5,204 cc"
Audi Q2,30 TDI / Boite Auto / Cockpit / Xenon / Cuir / Gps,"€ 17,490.","130,000 km",Yes,01/2020,4,Yes,Off Road/Pick up,85 kW (116 hp)
Audi A4,Avant 2.0 TDI   GPS   Leder   PDC   Topstaat!,"€ 12,990.","171,341 km",6,2,Grey,"1,968 cc",Station wagon,4
Audi A6,Lim. 2.0 TDI Ultra  7G Tronic MMI Kamera LED,"€ 15,999.","195,000 km",Diesel,Yes,Blue,"1,968 cc",Sedan,4.2 l/100 km (comb.)4.7 l/100 km (city)3.9 l/100 km (country)
Audi RS Q8,RS Q8 quattro ABT Signature Edition 1 of 96,"€ 284,900.",151 km,Yes,01/2024,8,Yes,Off Road/Pick up,588 kW (799 hp)
Audi A3,2.0 TDi Ambiente Start/Stop DPF,"€ 6,990.","159,000 km","1,968 cc",Yes,4.4 l/100 km (comb.)5.5 l/100 km (city)3.8 l/100 km (country),Manual,Sedan,6
Audi A5,40 TFSI Advanced OPF S tronic,"€ 38,990.","6,795 km","1,984 cc",Yes,5.6 l/100 km (comb.)7.1 l/100 km (city)4.8 l/100 km (country),Automatic,Sedan,7
Audi A7,Sportback 3.0 TDI quattro S Line,"€ 22,998.","127,000 km",5.9 l/100 km (comb.)7.2 l/100 km (city)5.3 l/100 km (country),180 kW (245 hp),Individuallackierung Audi excl,Diesel,Coupe,156 g/km (comb.)
Audi A7,Sportback 45 TFSI QUATTRO S TRONIC S LINE / CARPLA,"€ 46,900.","55,000 km",Automatic,2,Euro 6d TEMP,180 kW (245 hp),Sedan,"1,984 cc"
Audi TT RS,"Coupé RS Sportabgas,Matrix,B&O,Leder,Navi","€ 44,983.","118,990 km",Automatic,"118,990 km",4 (Green),294 kW (400 hp),Coupe,"2,480 cc"
Audi Q3,Audi Q3 advanced 35 TDI 110(150) kW(PS) S tronic,"€ 24,950.","145,214 km",Automatic,1,Euro 6d TEMP,110 kW (150 hp),Off Road/Pick up,"1,968 cc"
