Overview,ListingName,ListingIcon,ListingSellerName,Built_By,ListingRank,ListingScrapeDate,ListingURL,Side_Description,pic_urls,video_urls
,CrowdStrike Marketplace,,,,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
,CrowdStrike Marketplace,,,,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"With CrowdStrike and Abnormal Security working together, security analysts can holistically determine whether an identity is behaving normally through continuous behavior analysis from email content, activity, and endpoint monitoring, breaking down siloed views. If a compromise is detected, even if the initial compromise did not occur through email, analysts can act quickly to remediate the connected email account, stopping attacks in progress and mitigating the risk of spread through lateral phishing.",Abnormal Cloud Email Security,images.store.crowdstrike.com/9748z14dd5zg/597MvDbdk2ALXZLPQbO9O9/29e04affe6302de5c5b6dc8f81d4d340/Abnormal_icon.png,Abnormal Security,Abnormal Security, order on list 1,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Effortlessly integrate Netskope CASB logs into CrowdStrike Falcon LogScale using a pre-built package for better cloud app insights and threat management. The Netskope CASB package enables easy storage and analysis of incoming logs, enhancing visibility and the ability to identify threats effectively.",Netskope Cloud Access Security Broker for Falcon LogScale,images.store.crowdstrike.com/9748z14dd5zg/4PNDuHyZaOOCj4RAtADw8w/ac13c3deb038a45bc5fe4296379737cb/Netskope_icon_square.png,Netskope,Netskope, order on list 2,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Make security easier by bringing together your data from endpoints and Security Service Edge (SSE). With CrowdStrike Falcon Insight XDR, you can easily combine Netskope SSE and Secure Web Gateway (SWG) data in one place. This way, you see threats from different areas all together, helping your team find and handle problems faster and more accurately.",Netskope Data Connector,images.store.crowdstrike.com/9748z14dd5zg/4PNDuHyZaOOCj4RAtADw8w/ac13c3deb038a45bc5fe4296379737cb/Netskope_icon_square.png,Netskope,Netskope, order on list 3,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Enable highly relevant and impactful Netskope Security Service Edge (SSE) response actions based on detections from the CrowdStrike Falcon® platform. By easily orchestrating Netskope SSE response actions from CrowdStrike Falcon Fusion, such as adding or removing a user from a restricted user group, your team can accelerate incident response and cut out operational complexity. In addition, CrowdStrike Falcon® Insight XDR customers can also trigger Netskope response directly in the Falcon Insight XDR console based on threat detections or suspicious activity for faster cross-domain response.",Netskope Response Actions for Falcon Insight XDR,images.store.crowdstrike.com/9748z14dd5zg/4PNDuHyZaOOCj4RAtADw8w/ac13c3deb038a45bc5fe4296379737cb/Netskope_icon_square.png,Netskope,Netskope, order on list 4,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"CrowdStrike and NVIDIA integrate to put custom and secure ML and generative AI model creation in your hands to speed up threat detection and response. By leveraging rich and high fidelity CrowdStrike Falcon® platform security telemetry with accelerated computing running on NVIDIA AI Enterprise, including NVIDIA Morpheus cybersecurity AI framework and NVIDIA NIM inference microservices, you gain access to AI-powered applications trained on your data that can process high volumes of data to meet a wide range of security use cases like improving threat hunting, detecting supply chain attacks, identifying anomalies in user behavior, and proactively defending against emerging exploits and vulnerabilities. With CrowdStrike and NVIDIA, you get the best underlying security data to operationalize your AI architectures with confidence, driving performance and cost optimizations.",NVIDIA AI Enterprise,images.store.crowdstrike.com/9748z14dd5zg/4GURcqA6BXJxa5GelZCYnd/11f05e66510d1415b846bd00da5855a5/Nvidia_logo_512x512.png,NVIDIA,NVIDIA, order on list 5,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Enhance threat detection and response by consolidating security data and enabling actions across endpoint and identity domains with CrowdStrike Falcon Insight XDR. Easily integrate and view Okta identity and Single Sign-On (SSO) log data in one place, streamlining threat detection and allowing direct response actions for more efficient incident management and comprehensive organization-wide security.",Okta Data Data Connector & Response Actions,images.store.crowdstrike.com/9748z14dd5zg/161cfaAtPlZmhuvtkcbvY0/8285ca60651af81633adfe3f0ea92f28/Okta_icon_square.png,Okta,Okta, order on list 6,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Enhance secure remote access by integrating leading identity management and endpoint security solutions from Okta and CrowdStrike. This integration provides centralized visibility and essential user/device information, enabling reliable and automated access decisions that promote remote team productivity and enterprise security.",Okta Identity-centric Zero Trust,images.store.crowdstrike.com/9748z14dd5zg/161cfaAtPlZmhuvtkcbvY0/8285ca60651af81633adfe3f0ea92f28/Okta_icon_square.png,Okta,Okta, order on list 7,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Make your team better at finding modern threats by bringing together your security data from endpoints and emails. Unifying XDR with email data to easily see threats from different areas all together, helping your team work faster and smarter.",Proofpoint Data Connector,images.store.crowdstrike.com/9748z14dd5zg/elDBw02rxKcbNOn36WcDb/e272425876e53af9920fdad5e692a5ae/Proofpoint_icon_square.png,Proofpoint,Proofpoint, order on list 8,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
